gender,age
Female,37
Female,65
Male,72
Female,31
Male,34
Male,34
Female,70
Male,43
Female,65
Female,NA
Female,24
Transgender,28
Female,37
Male,68
Female,72
Male,60
Male,31
Female,47
Female,63
Male,46
Male,76
Male,40
Male,84
Female,NA
Female,67
Female,39
Female,70
Female,68
Female,58
Male,69
Male,39
Female,83
Female,60
Male,44
Male,46
Female,38
Male,59
Female,26
Male,42
Female,NA
Male,77
Female,69
Female,55
Male,62
Male,26
Female,74
Female,NA
Female,NA
Female,68
Female,68
Female,83
Male,74
Transgender,32
Female,55
Female,79
Female,67
Male,46
Male,40
Male,30
Male,66
Female,28
Female,55
Female,50
Female,22
Female,69
Female,38
Male,56
Male,49
Female,34
Female,51
Male,58
Female,75
Male,37
Male,40
Female,NA
Female,36
Female,36
Male,66
Female,45
Female,78
Male,65
Female,35
Female,NA
Female,29
Female,NA
Male,58
Female,19
Male,70
Female,62
Female,65
Male,NA
Female,74
Male,40
Female,55
Male,NA
Female,57
Male,86
Male,74
Female,48
Male,32
Male,67
Male,79
Female,65
Male,70
Female,81
Male,73
Male,74
Male,27
Female,31
Male,26
Female,58
Female,49
Male,39
Male,41
Female,67
Female,30
Female,NA
Female,43
Female,64
Female,NA
Male,83
Female,40
Female,51
Male,79
Male,69
Male,68
Female,36
Female,33
Female,64
Female,80
Male,75
Female,75
None of these,20
Male,NA
Female,51
Female,66
Female,37
Female,42
NA,NA
Female,46
Male,26
Female,64
Female,45
Female,67
Female,47
Male,77
Male,83
Male,79
Male,NA
Female,62
Female,31
Female,63
Male,33
NA,32
Female,67
Female,45
Female,55
Male,43
Male,58
Female,67
Male,39
Male,71
Male,28
Female,47
Male,NA
Female,63
Male,57
Male,34
Male,69
Female,29
Male,26
Male,54
Female,68
None of these,48
Female,44
Female,57
Female,62
Female,49
Male,70
Female,86
Female,NA
Female,38
Female,55
Male,76
Female,49
Female,NA
Female,56
Male,48
Female,60
Female,45
Female,61
NA,NA
Male,56
Female,25
Female,49
Female,33
Female,42
Male,69
Female,75
Female,56
Male,69
Female,58
Male,62
Female,63
Female,NA
Female,75
Male,42
Male,46
Female,43
Female,53
NA,NA
Male,74
Female,34
Female,36
Female,69
Male,74
Male,50
Female,46
Female,44
Female,63
Female,56
Male,41
Male,70
Female,31
Female,66
Male,71
Female,34
Male,86
Female,40
Male,53
Male,57
Female,77
Male,53
Female,59
Male,42
Female,39
Female,34
Male,66
Male,NA
Female,33
Male,62
Female,23
Female,65
Female,50
Male,51
NA,NA
Female,52
Male,57
Male,24
Male,NA
Male,70
Female,65
Male,49
Female,26
Female,34
Female,27
Female,22
Male,52
Female,34
NA,NA
Female,65
NA,65
Male,20
Male,62
Male,41
Male,43
Male,64
Male,35
Female,57
Male,20
Female,30
Male,30
Female,38
Female,63
Male,77
Male,28
Female,35
NA,NA
Female,59
Male,61
Female,54
Male,71
Male,33
Male,43
Female,45
Female,41
Female,61
Female,71
Male,60
Male,40
Female,NA
Female,37
Male,NA
Female,49
Female,56
Male,NA
Female,54
Female,42
Female,36
Female,74
Male,68
Male,83
Female,34
Female,41
Female,29
Female,34
Female,26
Female,55
Female,86
Male,56
Male,56
Male,36
Male,83
Male,71
Male,55
Male,59
Male,76
Female,66
Female,NA
Male,52
NA,NA
Female,18
Female,NA
Female,34
Male,74
Male,56
Male,68
Male,50
Female,55
Female,78
Female,24
Male,62
Male,70
Male,38
Female,44
Male,59
NA,NA
Male,NA
Female,25
NA,25
Female,74
Male,67
Male,70
Male,50
Female,26
Male,48
Male,64
Female,36
NA,NA
Female,54
Female,63
Male,70
Female,59
Male,59
Female,49
Male,72
